Referencia;Descripción;Entradas;Salidas;Precio;Importe;Precio medio;Escalón de precio;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;200;0,31;62,00;0,16;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;742
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;200;0,50;100,00;0,28;3;04-M/15-00093;01/04-M/15-00090;19-03-2015;12:11:12;17-04-2015;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,50;50,00;0,27;2;04-M/16-00214;01/04-M/16-00264;2-11-2016;16:16:51;7-11-2016;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,40;40,00;0,28;2;04-M/17-00335;01/04-M/17-00406;22-09-2017;10:11:31;22-09-2017;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;50;0,37;18,50;0,26;1;04-M/19-00030;01/04-M/19-00035;15-01-2019;9:58:29;15-01-2019;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2018A1809C
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;50;0,43;21,50;0,25;3;04-M/19-00857;01/04-M/19-00947;28-08-2019;20:18:31;30-08-2019;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;50;0,43;21,50;0,25;3;04-M/20-00103;01/04-M/20-00099;24-01-2020;9:26:40;27-01-2020;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2020A94C
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,43;43,00;0,25;3;04-M/20-00328;01/04-M/20-00326;12-03-2020;9:58:55;12-03-2020;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2020A404C
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;100;0,38;38,00;0,22;3;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;50;0,38;19,00;0,22;3;04-M/21-00490;01/04-M/21-00544;6-05-2021;18:56:05;7-05-2021;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2021A697C
DTA 016;Silicona térmica gris en jeringuilla PHASAK, 0,5 gramos;0;50;0,38;19,00;0,22;3;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2021A1293C
DTA 016;Silicona térmica gris plata en jeringuilla PHASAK, 0,5 gramos;0;100;0,43;43,00;0,25;3;04-M/22-00493;01/04-M/22-00561;18-07-2022;16:08:58;18-07-2022;18;;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;40;0,43;17,20;0,26;3;02-M/13-00132;01/02-M/13-00180;5-04-2013;14:08:08;5-04-2013;18;;2;Si;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,43;43,00;0,21;3;02-M/13-00250;01/02-M/13-00324;11-06-2013;11:48:38;20-06-2013;18;;2;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,43;43,00;0,21;3;02-M/13-00335;01/02-M/13-00455;3-09-2013;12:51:07;5-09-2013;18;;2;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,43;43,00;0,23;3;04-M/14-00006;01/02-M/13-00680;23-12-2013;18:26:24;14-01-2014;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;200;0,43;86,00;0,22;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;742
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,43;43,00;0,22;3;04-M/15-00031;01/04-M/15-00044;18-02-2015;11:46:05;18-02-2015;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,43;43,00;0,33;3;04-M/15-00258;01/04-M/15-00209;30-06-2015;13:17:59;9-12-2015;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;199;0,47;93,53;0,33;3;04-M/16-00055;01/04-M/16-00053;4-03-2016;12:00:53;21-03-2016;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,50;50,00;0,36;3;04-M/17-00448;01/04-M/17-00536;16-11-2017;10:48:27;16-11-2017;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;6245
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,42;42,00;0,29;3;04-M/18-00565;01/04-M/18-00644;3-09-2018;16:14:08;3-09-2018;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;PED2018A1321C
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;50;0,51;25,50;0,29;3;04-M/19-00857;01/04-M/19-00947;28-08-2019;20:18:31;30-08-2019;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;50;0,51;25,50;0,29;3;04-M/20-00187;01/04-M/20-00179;7-02-2020;9:36:20;10-02-2020;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,51;51,00;0,29;3;04-M/20-00660;01/04-M/20-00702;15-07-2020;10:31:05;15-07-2020;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;PED2020A888C
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;100;0,51;51,00;0,30;3;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;PED2021A510C
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;50;0,56;28,00;0,32;3;04-M/22-00335;01/04-M/22-00381;24-05-2022;14:35:40;24-05-2022;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;PED2022A739C
DTA 018;Silicona térmica gris-plata en jeringuilla PHASAK, 0.5 gramos;0;50;0,56;28,00;0,32;3;04-M/22-00561;01/04-M/22-00636;11-08-2022;16:04:24;11-08-2022;18;;4;No;TUBE HY 710 - 0,5G;;8;NPVM;PED2022A1109C
DTA 025;Silicona térmica blanca en jeringuilla PHASAK, 25 gramos;0;20;1,17;23,40;0,68;3;02-M/13-00132;01/02-M/13-00180;5-04-2013;14:08:08;5-04-2013;18;;2;Si;TUBE HY 420 WHITE 25;;8;NPVM;
DTA 025;Silicona térmica blanca en jeringuilla PHASAK, 25 gramos;0;100;1,17;117,00;0,65;3;02-M/13-00250;01/02-M/13-00324;11-06-2013;11:48:38;20-06-2013;18;;2;No;TUBE HY 420 WHITE 25;;8;NPVM;
DTA 025;Silicona térmica blanca en jeringuilla PHASAK, 25 gramos;0;100;1,17;117,00;0,60;3;04-M/14-00006;01/02-M/13-00680;23-12-2013;18:26:24;14-01-2014;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;
DTA 025;Silicona térmica blanca en jeringuilla PHASAK, 25 gramos;0;200;1,17;234,00;0,60;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;742
DTA 025;Silicona térmica blanca en jeringuilla PHASAK, 25 gramos;0;200;2,29;458,00;1,06;3;04-M/15-00093;01/04-M/15-00090;19-03-2015;12:11:12;17-04-2015;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;
DTA 025;Silicona térmica blanca en jeringuilla PHASAK  25 gramos;0;100;2,57;257,00;1,06;2;04-M/16-00004;01/04-M/16-00002;7-01-2016;13:00:05;7-01-2016;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;3459
DTA 025;Silicona térmica blanca en jeringuilla PHASAK  25 gramos;0;100;1,52;152,00;1,06;2;04-M/16-00153;01/04-M/16-00191;29-08-2016;14:08:22;29-08-2016;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;
DTA 025;Silicona térmica blanca en jeringuilla PHASAK  25 gramos;0;10;1,80;18,00;1,01;3;04-M/22-00872;01/04-M/22-00986;16-12-2022;13:36:08;16-12-2022;18;;4;No;TUBE HY 420 WHITE 25;;8;NPVM;PED2022A1793C
DTA 035;Silicona térmica blanca en jeringuilla Phasak, 5 gramos;0;50;0,93;46,50;0,57;3;02-M/13-00380;01/02-M/13-00486;20-09-2013;18:00:36;4-10-2013;18;;2;No;HY420 WHITE 5G;;8;NPVM;
DTA 035;Silicona térmica blanca en jeringuilla Phasak, 5 gramos;0;100;0,93;93,00;0,54;3;04-M/14-00040;01/04-M/14-00043;18-02-2014;18:03:39;19-02-2014;18;;4;No;HY420 WHITE 5G;;8;NPVM;
DTA 050;Silicona térmica blanca en bote PHASAK, 50 gramos;0;20;0,99;19,80;0,52;3;02-M/13-00401;01/02-M/13-00522;4-10-2013;16:54:42;18-10-2013;18;;2;No;CAN HY 420 50G;;8;NPVM;
DTA 050;Silicona térmica blanca en bote PHASAK, 50 gramos;0;20;0,99;19,80;0,56;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;CAN HY 420 50G;;8;NPVM;742
DTA 050;Silicona térmica blanca en bote PHASAK, 50 gramos;0;20;2,19;43,80;0,83;1;04-M/16-00004;01/04-M/16-00002;7-01-2016;13:00:05;7-01-2016;18;;4;No;CAN HY 420 50G;;8;NPVM;3459
DTA 050;Silicona térmica blanca en bote PHASAK, 50 gramos;0;3;2,12;6,36;1,21;3;04-M/22-00872;01/04-M/22-00986;16-12-2022;13:36:08;16-12-2022;18;;4;No;CAN HY 420 50G;;8;NPVM;PED2022A1793C
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20);0;90;0,29;26,10;0,18;3;02-M/13-00401;01/02-M/13-00522;4-10-2013;16:54:42;18-10-2013;18;;2;No;MINI BAG HY 530 GREY;;8;NPVM;
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);0;50;0,47;23,50;0,15;1;04-M/16-00071;01/04-M/16-00082;15-04-2016;10:34:14;15-04-2016;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;3920
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);50;0;0,47;-23,50;0,15;1;04-M/16-00098;01/04-M/16-00095;29-04-2016;10:28:12;23-05-2016;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);0;50;0,22;11,00;0,15;1;04-M/16-00098;01/04-M/16-00095;29-04-2016;10:28:12;23-05-2016;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);0;20;0,36;7,20;0,25;1;04-M/18-00565;01/04-M/18-00644;3-09-2018;16:14:08;3-09-2018;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;PED2018A1321C
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);0;23;0,43;9,89;0,25;3;04-M/19-00901;01/04-M/19-01004;10-09-2019;12:24:20;10-09-2019;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;PED2019A1309C
DTA 085;Silicona térmica gris en bolsa, 0,5 gramos (20u.);0;50;0,43;21,50;0,25;3;04-M/20-00850;01/04-M/20-00923;28-09-2020;11:06:25;28-09-2020;18;;4;No;MINI BAG HY 530 GREY;;8;NPVM;PED2020A1407C
DTA 125;Silicona térmica jeringa 25g. blanca;0;20;1,87;37,40;0,99;3;02-M/13-00401;01/02-M/13-00522;4-10-2013;16:54:42;18-10-2013;18;;2;No;HSPA25I;;8;NPVM;
DTA 126;Masa térmica silicona H 100g.;0;10;2,58;25,80;1,67;3;02-M/13-00396;01/02-M/13-00541;15-10-2013;11:21:40;15-10-2013;18;;2;No;#04273;;8;NPVM;
DTA 126;Masa térmica silicona H 100g.;0;20;2,58;51,60;1,69;3;04-M/14-00123;01/04-M/14-00161;27-06-2014;10:10:42;27-06-2014;18;;4;No;#04273;;8;NPVM;742
DTA 126;Masa térmica silicona H 100g.;0;20;2,91;58,20;1,80;3;04-M/16-00004;01/04-M/16-00002;7-01-2016;13:00:05;7-01-2016;18;;4;No;#04273;;8;NPVM;3459
DX 227;Tester profesional para cables RJ45/11/BNC y comprobador POE;0;2;15,01;30,02;11,66;3;04-M/21-00484;01/04-M/21-00538;4-05-2021;16:52:41;4-05-2021;18;;4;No;I-CT PRO-POE;;8;NPVM;PED2021A664C
JD 3002;Medidor de calidad de aire Co2;0;3;25,65;76,95;18,64;3;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;4;No;;;8;NPVM;PED2020A1748C
LB 1036;Armario rack mural 10"  desmontado  6U 280x310mm en negro;0;3;30,63;91,89;25,70;3;04-M/22-00282;01/04-M/22-00321;4-05-2022;16:45:06;5-05-2022;18;;4;No;WF10-2306-10B;;8;NPVM;PED2022A498C
LB 1036;Armario rack mural 10"  desmontado  6U 280x310mm en negro;0;1;30,63;30,63;25,68;3;04-M/22-00333;01/04-M/22-00345;11-05-2022;17:19:04;24-05-2022;18;;4;No;WF10-2306-10B;;8;NPVM;PED2022A498C
LB 1036;Armario rack mural 10"  desmontado  6U 280x310mm en negro;0;5;30,63;153,15;25,55;3;04-M/22-00493;01/04-M/22-00561;18-07-2022;16:08:58;18-07-2022;18;;4;No;WF10-2306-10B;;8;NPVM;
LB 2011;Panel frontal guia cables 19" 1U con cepillo negro;0;20;3,68;73,60;2,64;3;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;4;No;AK-1101-B;;8;NPVM;PED2022A241C
LB 2011;Panel frontal guia cables 19" 1U con cepillo negro;0;20;3,68;73,60;2,64;3;04-M/22-00282;01/04-M/22-00321;4-05-2022;16:45:06;5-05-2022;18;;4;No;AK-1101-B;;8;NPVM;PED2022A498C
LB 2011;Panel frontal guia cables 19" 1U con cepillo negro;0;10;3,53;35,30;2,55;3;04-M/22-00561;01/04-M/22-00636;11-08-2022;16:04:24;11-08-2022;18;;4;No;AK-1101-B;;8;NPVM;PED2022A1109C
LB 2011;Panel frontal guia cables 19" 1U con cepillo negro;0;5;3,53;17,65;2,55;3;04-M/22-00580;01/04-M/22-00651;22-08-2022;16:11:08;23-08-2022;18;;4;No;AK-1101-B;;8;NPVM;PED2022A1165C
LB 5606;Bandeja fija 19" 1U 465x300mm en negro;0;2;5,74;11,48;4,17;3;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;4;No;AK-1002-B;;8;NPVM;PED2020A1619C
LB 5606;Bandeja fija 19" 1U 465x300mm en negro;0;4;7,21;28,84;5,24;3;04-M/21-00917;01/04-M/21-01027;30-11-2021;9:17:32;30-11-2021;18;;4;No;AK-1002-B;;8;NPVM;PED2021A1495C
LB 5606;Bandeja 1U fija 465x300mm en negro;0;4;8,70;34,80;6,32;3;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;4;No;AK-1002-B;;8;NPVM;PED2022A241C
LB 5612;Bandeja fija  19" 1U 500x280mm en negro;0;2;5,42;10,84;3,94;3;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;4;No;AK-1001-B;;8;NPVM;PED2020A1619C
LB 5612;Bandeja fija  19" 1U 500x280mm en negro;0;5;6,15;30,75;4,47;3;04-M/21-00405;01/04-M/21-00450;14-04-2021;10:19:52;14-04-2021;18;;4;No;AK-1001-B;;8;NPVM;PED2021A544C
LB 5612;Bandeja fija  19" 1U 500x280mm en negro;0;5;6,15;30,75;4,28;3;04-M/21-00474;01/04-M/21-00451;14-04-2021;10:22:16;3-05-2021;18;;4;No;AK-1001-B;;8;NPVM;PED2021A544C
LB 5612;Bandeja 1U fija 500x280mm en negro;0;4;7,37;29,48;5,35;3;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;4;No;AK-1001-B;;8;NPVM;PED2021A1870C
LOG B100;Logitech Raton B100 optico USB negro 910-003357;0;50;4,15;207,50;3,57;3;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;4;No;910-003357;;8;NPVM;
LOG K120-ES;Teclado Logitech USB Español negro OEM;0;50;6,12;306,00;5,26;3;04-M/20-00940;01/04-M/20-01026;20-10-2020;13:02:03;20-10-2020;18;;4;No;920-002518;;8;NPVM;PED2020A1489C
LOG K120-ES;Teclado Logitech USB Español negro OEM;0;7;6,12;42,84;5,26;3;04-M/20-01057;01/04-M/20-01168;18-11-2020;10:34:57;18-11-2020;18;;4;No;920-002518;;8;NPVM;PED2020A1701C
LOG K400-ES;Logitech Wireless touchkeyboard K400 Espanhol;0;2;13,74;27,48;12,84;3;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;4;No;920-007137;;8;NPVM;PED2021A510C
LOG S120-OEM;Logitech Speaker System negro Oem/S-120;0;15;12,44;186,60;11,63;3;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;4;No;980-000010;;8;NPVM;PED2021A510C
