Referencia;Descripción;Fecha;Salidas;Precio;Pedido de venta -> Serie, ejercicio y nº pedido;Pedido de venta -> Nº pedido;Factura de venta -> Serie de factura emitida;Cliente;Cliente -> Nombre fiscal
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Nov-2018;2;104.4300;01/04-M/18-00892;892;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;21-Nov-2018;1;99.2100;01/04-M/18-00953;953;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Nov-2018;1;117.9900;01/03-N/18-05831;5831;1;50159;ETXESOFT TECHNOLOGIES & CONSULTING S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Dic-2018;2;98.0000;01/03-N/18-05886;5886;1;58291;SPANRED S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Dic-2018;1;99.2100;01/04-M/18-01024;1024;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;14-Ene-2019;1;123.2300;01/03-N/19-00106;106;1;45213;SITIC SOLUTIONS, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;16-Ene-2019;2;109.0000;01/03-N/19-00155;155;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;1-Feb-2019;1;123.2300;01/03-N/19-00363;363;1;52245;DATOR COMPUTING S.COOP.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Feb-2019;1;99.2100;01/04-M/19-00152;152;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Feb-2019;1;99.2100;01/04-M/19-00148;148;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Feb-2019;1;99.2100;01/04-M/19-00147;147;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;8-Feb-2019;1;99.2100;01/04-M/19-00169;169;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;11-Feb-2019;1;123.2300;01/03-N/19-00225;225;1;30319;GENERAL DE INFORMAT.Y GESTION BURGOS, S.COOP.LTDA.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Feb-2019;1;100.8200;01/04-M/19-00208;208;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;26-Mar-2019;2;100.8200;01/04-M/19-00381;381;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;1-Abr-2019;1;100.8200;01/04-M/19-00393;393;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;9-May-2019;4;123.2300;01/03-N/19-02047;2047;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;28-May-2019;4;123.2300;01/03-N/19-02306;2306;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-May-2019;1;99.2100;01/04-M/19-00624;624;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Jun-2019;2;123.2300;01/03-N/19-02424;2424;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;11-Jun-2019;1;99.2100;01/04-M/19-00654;654;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;18-Jun-2019;2;103.9500;01/03-N/19-02417;2417;1;57954;MIGUEL DURANTE BERNA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;19-Jun-2019;1;123.2300;01/03-N/19-02629;2629;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;25-Jun-2019;1;99.2100;01/04-M/19-00696;696;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Jul-2019;1;110.9100;01/03-N/19-02729;2729;1;10325;INFORSOFT I.B. S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;8-Jul-2019;1;99.2100;01/04-M/19-00741;741;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;19-Jul-2019;1;123.2300;01/03-N/19-02952;2952;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;24-Jul-2019;1;99.2100;01/04-M/19-00816;816;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-Jul-2019;2;100.8200;01/04-M/19-00850;850;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Ago-2019;1;99.2100;01/04-M/19-00870;870;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Ago-2019;1;85.4000;01/04-M/19-00951;951;18;39162;HANDEL POINT S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;2-Sep-2019;2;85.4000;01/04-M/19-00965;965;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Sep-2019;1;85.4000;01/04-M/19-00967;967;18;57123;KILOVATIO GALICIA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;4-Sep-2019;1;99.2100;01/04-M/19-00977;977;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Sep-2019;1;85.4000;01/04-M/19-00984;984;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;18-Sep-2019;1;99.0000;01/03-N/19-03813;3813;1;57691;MILLORSERVEI COMUNICACIONS S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Oct-2019;1;92.5000;01/03-N/19-03678;3678;1;49566;ELECTROSON SAN SEBASTIAN, SA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;5-Nov-2019;1;92.5000;01/03-N/19-04298;4298;1;57954;MIGUEL DURANTE BERNA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;25-Nov-2019;1;83.9000;01/04-M/19-01365;1365;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;4-Dic-2019;1;89.5000;01/03-N/19-05105;5105;1;50159;ETXESOFT TECHNOLOGIES & CONSULTING S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;16-Dic-2019;1;85.5000;01/03-N/19-05076;5076;1;39532;VISTALEGRE SOLUTIONS, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;7-Ene-2020;2;83.9000;01/08-N/20-00003;3;1;65109;MARIA JOSE JIMENEZ BERMUDEZ
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Ene-2020;1;92.5000;01/03-N/20-00130;130;1;57751;INNOVATE POWERING ELECTRONIC S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Ene-2020;1;92.5000;01/03-N/20-00165;165;1;38275;GALEGA DE SOFTWARE ESPECIALIZADO, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;21-Ene-2020;1;92.5000;01/03-N/20-00238;238;1;53313;ROBERTO LAPEÑA SALVADOR 
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;23-Ene-2020;2;83.9000;01/04-M/20-00079;79;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Ene-2020;2;83.9000;01/04-M/20-00120;120;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Feb-2020;3;123.2300;01/03-N/20-00495;495;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;21-Feb-2020;2;89.5000;01/03-N/20-00316;316;1;23377;SPW S.L
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-Feb-2020;0;99.2100;01/04-M/19-00871;871;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-Mar-2020;1;85.5000;01/08-N/20-00217;217;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;20-Mar-2020;3;89.5000;01/08-N/20-00277;277;1;50979;HOGAR DIGITAL E INMOTICA INGENIEROS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Abr-2020;3;92.5000;01/08-N/20-00434;434;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-May-2020;1;92.5000;01/08-N/20-01374;1374;1;38275;GALEGA DE SOFTWARE ESPECIALIZADO, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;1-Jun-2020;1;92.5000;01/08-N/20-01683;1683;1;55365;ALIPABLO S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-Jun-2020;1;99.2100;01/04-M/20-00565;565;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-Jun-2020;5;92.5000;01/08-N/20-01857;1857;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Jun-2020;1;83.9000;01/04-M/20-00573;573;18;57123;KILOVATIO GALICIA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;16-Jun-2020;2;75.0000;01/08-N/20-01849;1849;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;18-Jun-2020;0;92.5000;01/08-N/20-01974;1974;1;55365;ALIPABLO S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;14-Jul-2020;1;92.5000;01/08-N/20-02410;2410;1;48380;SISTEMAS Y COMUNICACIONES INFOSER, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-Ago-2020;1;52.1800;01/08-IE/20-00065;65;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;2-Sep-2020;0;92.5000;01/08-N/20-02982;2982;1;48380;SISTEMAS Y COMUNICACIONES INFOSER, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;2-Sep-2020;2;92.5000;01/08-N/20-03155;3155;1;49617;TELPLAY S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;22-Sep-2020;1;92.5000;01/08-N/20-03577;3577;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;24-Sep-2020;0;100.8200;01/04-M/20-00916;916;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;7-Oct-2020;1;83.9000;01/04-M/20-00968;968;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Oct-2020;1;92.5000;01/08-N/20-03986;3986;1;38288;TECNOGESTIÓN PRINCIPADO, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;28-Oct-2020;1;83.9000;01/04-M/20-01065;1065;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Oct-2020;1;52.1800;01/08-IE/20-00085;85;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Nov-2020;1;83.9000;01/04-M/20-01117;1117;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-Nov-2020;1;83.9000;01/04-M/20-01132;1132;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;22-Dic-2020;1;83.9000;01/04-N/20-00170;170;1;40621;HM HISPAMICRO SISTEMAS INFORMATICOS S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;23-Dic-2020;1;75.0000;01/08-N/20-04807;4807;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;8-Ene-2021;1;93.9700;01/04-M/21-00013;13;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;20-Ene-2021;1;93.9700;01/04-M/21-00066;66;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Feb-2021;1;79.0000;01/08-N/21-00653;653;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;17-Mar-2021;0;83.9000;01/04-M/21-00339;339;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot Módulo de comunicación SNMP para SAIs online Phasak compatibles, que dispongan de puerto Intelligent Slot. Incluye software de monitorización Viewpower Pro, disponible para diferentes sistemas operativos.;19-Mar-2021;2;95.0000;01/08-N/21-00907;907;1;48597;RICARDO VELA CB 
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-Mar-2021;1;52.1800;01/08-IE/21-00036;36;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Abr-2021;2;93.9700;01/04-M/21-00525;525;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Abr-2021;2;79.0000;01/08-N/21-01434;1434;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;6-May-2021;1;99.0000;01/08-N/21-02125;2125;1;66754;SONEPAR IBÉRICA SPAIN, S.A.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;11-May-2021;1;95.7600;01/08-N/21-02178;2178;1;59590;MORON EQUIPMENT AM3 S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-May-2021;2;103.6000;01/08-N/21-02215;2215;1;15827;SILME S.A
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;9-Jun-2021;6;134.0600;01/08-N/21-02653;2653;1;64380;INSTALACIONES SMART SPAIN S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Jun-2021;1;95.7600;01/08-N/21-02520;2520;1;16146;SUPRARED S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;21-Jun-2021;0;134.0600;01/08-N/21-02875;2875;1;64380;INSTALACIONES SMART SPAIN S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jun-2021;6;51.9900;01/08-IE/21-00085;85;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;2-Jul-2021;1;0.0000;01/08-N/21-03021;3021;1;11232;GERSA INFORMATICA S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;9-Jul-2021;1;145.0400;01/08-N/21-03110;3110;1;38275;GALEGA DE SOFTWARE ESPECIALIZADO, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;19-Jul-2021;1;134.0600;01/08-N/21-03236;3236;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Jul-2021;1;51.9900;01/08-IE/21-00109;109;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;25-Ago-2021;1;131.5600;01/04-M/21-00784;784;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;7-Sep-2021;1;131.5600;01/04-M/21-00814;814;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;22-Sep-2021;1;124.0000;01/08-N/21-03931;3931;1;15827;SILME S.A
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;15-Oct-2021;1;108.0000;01/08-N/21-04317;4317;1;14552;VALBIT INGENIERIA, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;17-Nov-2021;1;94.5000;01/04-M/21-00977;977;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Nov-2021;1;0.0000;01/08-M/21-00023;23;18;23167;X-NET, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;29-Nov-2021;1;98.0000;01/08-M/21-00023;23;18;23167;X-NET, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Dic-2021;1;94.5000;01/04-M/21-01054;1054;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;9-Dic-2021;0;94.5000;01/04-M/21-01055;1055;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;9-Dic-2021;1;94.5000;01/04-M/21-01056;1056;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;14-Dic-2021;1;98.0000;01/08-M/21-00033;33;18;23167;X-NET, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;28-Dic-2021;2;95.0000;01/08-N/21-05172;5172;1;30376;INFOCENTRO BENAVENTE, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-Ene-2022;1;98.0000;01/08-M/22-00002;2;18;23167;X-NET, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;3-Feb-2022;1;94.5000;01/04-M/22-00066;66;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;2-Mar-2022;1;94.5000;01/04-M/22-00155;155;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;10-Mar-2022;2;118.1500;01/08-N/22-01013;1013;1;63535;INFORMATICA PROYECT PC S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;17-Mar-2022;1;109.0000;01/08-N/22-00556;556;1;37750;ECLIPSE COMUNICACIÓN DIXITAL, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;30-Mar-2022;4;120.5500;01/08-N/22-01161;1161;1;50979;HOGAR DIGITAL E INMOTICA INGENIEROS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;26-Abr-2022;1;120.5500;01/08-N/22-01653;1653;1;14396;ASTIM INFORMATICA, S.R.L.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;6-May-2022;0;120.5500;01/08-N/22-01817;1817;1;50979;HOGAR DIGITAL E INMOTICA INGENIEROS S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;12-May-2022;1;123.0200;01/08-N/22-01936;1936;1;15426;TAGG VALLES S.L
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;20-May-2022;2;94.5000;01/04-M/22-00372;372;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;24-May-2022;2;118.1500;01/08-N/22-01822;1822;1;45583;IVAN PRIETO PRIETO(EUSKO PC)
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;26-May-2022;2;118.1500;01/08-N/22-01944;1944;1;23377;SPW S.L
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;26-May-2022;1;94.5000;01/04-M/22-00392;392;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-May-2022;1;120.5500;01/08-N/22-02243;2243;1;64237;M HARD SOLUCIONES EN SISTEMAS SL
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-May-2022;4;57.9200;;;;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-May-2022;4;57.9200;;;;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;31-May-2022;4;56.3200;01/08-IE/22-00114;114;44;24256;MEDIO INFORMÁTICO, LDA
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Jun-2022;2;118.1500;01/08-N/22-02126;2126;1;14552;VALBIT INGENIERIA, S.L.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Jun-2022;0;118.1500;01/08-N/22-02312;2312;1;45583;IVAN PRIETO PRIETO(EUSKO PC)
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;13-Jun-2022;1;94.5000;01/04-M/22-00458;458;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;17-Jun-2022;2;123.0200;01/08-N/22-02584;2584;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9100;Modulo SNMP para S.A.I. Phasak con Intelligent Slot;27-Jun-2022;1;120.5500;01/08-N/22-02708;2708;1;64237;M HARD SOLUCIONES EN SISTEMAS SL
