Fecha;Numero_Factura;Cantidad;SPV;Averia;Referencia
2022-12-01;;1;C22155;SN 742204502058EL APARATO TUVO UN CORTO DESPUES DE DOS HORAS EN CARGA;PH 9420
2022-12-02;815;1;L22015;No le funciona bien el display;CR 2067
2022-12-07;08-N/22-02764;1;J22007;DIFERENCIAL SE SALTA. NO FUNCIONA. ABONAR. YA SE ENVIO SUSTITUCION EN FACTURA SIGUIENTE 08-N/22-03295;AM4112
2022-12-09;;1;C22156;SN 341812508700El sai no hace absolutamente nada al conectarlo a la corriente e intentar encenderlo;PH 9475
2022-12-13;;1;C22157;SN 242112500383NO SE ENCIENDE;PH 9465
2022-12-13;;1;C22158;SN 242008552606No soporta el pc en caso de apagón o bajada de tensión;PH 9465
2022-12-13;850;1;L22016;El aparato hace mucho ruido y desprende un olor fuerte como si se estuviera quemando internamente;PH 9260
2022-12-14;;1;C22159;SN 242004559200No soporta el pc en caso de apagon o bajada de tension;PH 9465
2022-12-14;;1;C22160;SN 300132AY30000134Estaba puesto para mantener el servidor de una gasolinera en caso de fallo de red, y recibieron un aviso una noche que no iban los surtidores. Llegaron y el SAI no funcionaba. Ha funcionado casi un año.;PH 9230
2022-12-14;;1;C22161;SN 442206513655NO ENCIENDE;PH 9410
2022-12-14;;1;C22163;SN 83322101502854No enciende y pita continuamente;PH 8030
2022-12-16;;1;C22164;SN 300132AS30000022NO responde SAI ni input ni output. Ningun codigo de error;PH 9230
2022-12-16;;1;C22165;SN 742203500029AL CONECTAR EL ORDENADOR SE APAGA;PH 9420
2022-12-19;;1;C22166;SN 342206504825NO FUNCIONA Y PARECE TENER PIEZAS SUELTAS EN EL INTERIOR, SE LO ENVIAMOS A DEPAU PERO ESTE NOS INDICA QUE DEBEMOS TRAMITAR LA GARANTIA DIRECTAMENTE CON USTEDES;PH 9408
2022-12-19;;1;C22167;SN 83322204500960El SAI arrancó la primera vez bien. Despues se paró y no ha vuelto a arrancar.;PH 8030
2022-12-19;;1;C22168;SN 341912507927Deja de funcionar;PH 9485
2022-12-20;;1;C22169;SN 242008552605No soporta el pc en caso de apagón o bajada de tensión;PH 9465
2022-12-20;;1;C22170;SN 85222206500042A los 4 días de estar instalado comienza a dar error 71 - L1 PFC IGBT fault. Se le pide desconectar totalmente el equipa reiniciarlo y al arrancar nuevamente da error 65 - INV L2 waveform abnormal. Se decide hacer cambio;PH 9293
2022-12-21;;1;C22171;SN 320042AW30000390No funciona.;PH 7288
2022-12-21;;1;C22172;SN 742010502170CUANDO CONECTAMOS CUALQUIER DISPOSITIVO DEJA DE FUNCIONAR;PH 9420
2022-12-22;;1;C22173;SN 320042AS30000223AL FALTAR LA CORRIENTE , SE APAGA ENSEGUIDA, AL ESTAR EN FUNCIONAMIENTO CON CORRIENTE A VECES HACE FALLOS, SE APAGA RÁPÌDO Y VUELVEEL CLIENTE NO TIENE LA CAJA ORIGINAL;PH 7288
2022-12-22;08-N/22-00572;1;J22009;DIFERENCIAL NO FUNCIONA;AM2112D
2022-12-23;;1;C22174;SN 320055BN30000020SE APAGA SIN CARGA ALGUNA, NO CONMUTA. CONSIDERO QUE ES UN PROBLEMA DE PLACA NO DE BATERIA.;PH 7631
2022-12-23;;1;C22175;SN 342204509496Buenas, el SAI emite un fuerte ruido electrico cuando la batería entra en escena, si necesitan vídeo se lo envío dónde me digan.;PH 9485
2022-12-23;;1;C22176;SN 83322204500958No enciende. No hace nada;PH 8030
2022-12-30;;1;C22177;SN 83221805500005CUANDO FALTA EL SUMINISTRO, NO DA SALIDA;PH 9220
2023-01-04;;1;C23002;SN 83322204500923No enciende.;PH 8030
2023-01-05;;1;C23003;SN 83922104100562EL SAI NO CONMUTA, SE INSTALO EN EL CLIENTE HACE UNOS POCOS MESES EN RECINTO "CONTROLADO", Y NO DETECTAMOS LA ANOMALIA HASTA QUE HACE UNOS DIAS POR LAS TORMENTAS DETECTAMOS TRAS CORTE ELECTRICO QUE EL SISTEMA NO FUNCIONABA.ES UN EQUIPO CRITICO.sacamos hoy uno nuevo en el pedido 01/04-I/23-00001.Cuanto tenga preparado el averiado, pasaremos a recogerlo.;PH 9270
2023-01-05;;1;C23004;SN 242203504544SALIO HUMO Y AHORA NO FUNCIONA, URGENTE EL CAMBIO DE UNIDAD, GRACIAS.;PH 9406
2023-01-05;;1;L23001;no funciona;PH 7266
2023-01-05;;1;C23005;SN 3200427X30000264El sai no se enciende. Funciono pero a los pocos días dejo de funcionar;PH 7288
2023-01-10;;1;C23006;SN 342112500717No enciende.;PH 9485
2023-01-12;;1;C23007;SN 83322204500983No enciende. Tampoco en modo baterías.;PH 8030
2023-01-13;1502;1;L23002;el cliente dice que tan pronto como le corta la corriente, deja de funcionar;PH 9408
2023-01-16;;1;C23008;SN 83922107600763Después de dejarlo cargando varios días, se hizo una prueba de corte de tensión y el sai no aguantó.;PH 9270
2023-01-18;;1;C23009;SN 3421045043227 de cada 10 cortes de luz falla y no actúa.;PH 9408
2023-01-18;;1;C23010;SN 320532BV30000148NO CARGA,NO HACE NADA HEMOS SEGUIDO LAS INSTRUCCIONES QUE NOS HAN DICHO Y SIGUE IJUAL.;PH 7266
2023-01-18;08-N/21-02414;1;B23003;no le graba en el dvr, solo on line, hemos probado y nada;DVR 907
2023-01-19;;1;C23012;SN 83322104101671hacen ruido los ventiladores y se huele com a quemado... ;PH 9330
2023-01-19;;1;C23013;SN 342206507476Al encender el sai, este hace un ruido continuamente.;PH 9485
2022-02-04;;2;C22014;SN 241708534276SN 241712554078No carga las baterías ninguno de los dos.;PH 9408
2022-02-18;08-N/22-00348;2;C22025;No las reconocen los equipos.;LH 9235
2022-05-27;08-N/22-00847;2;B22030;fallan;AM4012
2022-06-03;08-N/22-00275;2;B22033;fallo en corriente, no da corriente a la placa;PSU 0500
2022-06-15;08-N/22-01442;2;B22035;le venian sin caja, que si los pone a un pc no le va y a una docking para hacer copia tampoco;HDD 2000
2022-08-01;;2;L22002;Beatriz Sanchez12:03 (hace 14 minutos)para SilviaSolicité 2 unidades del modelo 24-24W-G que es Gigabyte y 1A.He recibido 2 unidades del modelo 24-12W que transmite máximo a 100 Mb/s y 0,5A;UQ 9824
2022-09-23;08-N/22-02523;2;B22047;no carga las baterias;GB 9150
2022-10-03;1299;2;L22006;"es un sai, cuyas prestaciones no se ajustna al cliente";PH 9406
2022-11-30;08-N/22-02826;2;B22060;no funciona onvif ni es compatible;CAM 919
2022-12-14;08-N/22-02626;2;C22162;Falla el puerto inferiorerror de transmisión en los puertos. No reciben y transmiten datos.;LH 9225
2022-12-15;08-N/20-03279;2;B22061;no funcionan, en mal estado, fallan ;BAT 209
2022-01-07;08-N/21-03454;3;22002;EQUIVOCACION DE LA COMERCIAL EN REFERENCIAS;LD 9601
2022-02-02;08-N/21-01455;3;B22005;no muestra imagen, están dañadas;CAM 736
2022-05-25;;3;C22063;SN 341912503533SN 341912507564SN 341912507563Problemas de baterías dos de ellos. Otro no enciende.;PH 9485
2022-05-25;04-M/21-00952;3;C22065;1.- Abierto de fabrica o mal cerrado. Bateria Mal? Hace cosas raras2.- Abierto de fabrica o mal cerrado. Bateria Mal? Hace cosas raras3.- Hace cosas raras. Midel mal. Pita cuando no hay nadie en una habitacion y con ventana abierta.;JD 3002
2022-05-27;08-N/22-00847;3;B22030;no saltan o saltan tarde  no funcionan;ACN440
2022-06-02;;3;C22069;SN 3001319Z30000030 - ERROR 59SN 3001310S30000060 - NO HACE BYPASSSN 300131AY30000102 - ECHA LIQUIDO DE BATERIA.;PH 9220
2022-11-24;04-M/21-00658;3;B22058;NO FUNCIONAN;CAM 37
2023-01-12;08-N/22-03330;3;B23001;ZUMBIDO DE FONDO Y SONIDO MAS BAJO EN AURICULAR IZD , se  DESCARGA RAPIDO Y UN AURICULAR SE OYE MAS BAJO QUE OTRO, ;SBV 1009
2022-03-16;08-N/21-03191;4;B22016;no funcionan correctamente, se ven borrosas, imagenes medio oscuras;CAM 37
2022-03-16;08-N/21-03653;4;B22016;estan estropeados, unos se escuchan un auricular, otros no;SBV 1009
2022-06-23;04-M/22-00275;4;B22036;PUERTA MAL;PHC 2112
2022-01-07;08-N/21-03454;5;22002;FALLO COMRCIAL ;LD 9602
2022-01-13;08-N/22-00076;5;22003;eL PRECIO ESTA MAL  ES 1,56;ACN125
2022-01-13;08-N/22-00076;5;22003;ESTA MAL EL PRECIO SON 1,56;ACN120
2022-01-13;08-N/22-00076;5;22003;ESTA MAL EL PRECIO ES 1,56;ACN116D
2022-01-17;08-N/21-03234;5;22005;ha pasado la oca y han metido la maquinaa para que salten y no han saltado en 30 ma ;AM3012D
2022-06-23;04-M/22-00352;5;B22036;PUERTA MAL LA CERRADURA;PHC 2112
2022-09-23;08-N/20-02409;5;B22048;AURICULARES EXTERNOS DEFECTUOSO-FALLOS DE SONIDO  ;KO 5114
2022-11-08;08-N/22-02729;5;J22004;No funcionan;AM3012D
2022-01-17;08-N/22-00073;6;22004;NO ES LA MARCA QUE QUIERE;ACN225
2022-03-16;08-N/22-00494;6;B22017;le llegaron dañados y no funcionan;LD 5618
2022-03-23;08-N/22-00692;6;22012;no funcionan ;AM3012D
2022-10-17;08-N/22-00692;7;B22050;no funcionan, los instala y salta el diferencia.;AM3012D
2022-09-15;04-M/21-00658;8;B22045;dañadas, fallan;CAM 37
2022-02-08;04-N/22-00006;9;B22007;dañadas;CAM 37
2022-01-17;08-N/22-00073;10;22004;no es la marca que quiere ;ACN220
2022-01-17;08-N/22-00073;10;22004;No es la marca que quiere;AH0210D
2022-04-18;04-M/22-00166;10;B22025;no funcionan;TD 126C6
2022-05-03;08-N/21-03081;10;V22002;No función ;LD 6619
2022-11-14;08-N/22-01787;10;B22056;10 X CABLE USB 2.0 1.8M GRIS , FUNCIONAN MAL;TM 2402-IV
2022-01-18;08-N/21-01388;15;B22002;15 para abono;JD 3002
2022-01-13;08-N/22-00076;20;22003;ESTA MAL EL PRECIO SON 0 EUROS YA QUE SE LOS COBRO CON ELPACK ZZ21 ;ACN225
2022-02-14;08-N/22-00378;20;22007;no funcionan;AM3012D
2022-05-17;04-M/22-00301;20;B22031;viene con dos ean, y no pueden venderlos;LN 1602
2022-11-14;08-N/22-01867;20;B22056;20 X CABLE USB 2.0 1.8M GRIS, FUNCIONAN MAL;TM 2402-IV
2022-01-17;08-N/22-00073;24;22004;No es la marca que quiere;ACN216D
